"","tweet.datetime","text","user.description","total.favorites","total.followers","total.friends","user.location","user.name","screen.name","total.statuses","tweet.mentions","retweet.mentions","url","retweet.url","total.retweets"
"596","Mon Jul 20 17:45:21 +0000 2020","Despite a lack of research that biotin may help address hair loss or improve skin and nail health, dermatologists h… https://t.co/6YC1vw2rcy","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1285269579955081216",NA,26
"597","Mon Jul 20 10:45:16 +0000 2020","According to Yu Yanhong, 91.5% of COVID-19 patients in China have been treated with traditional Chinese medicine (T… https://t.co/8YZ2XRXGG4","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1285163862447345667",NA,81
"598","Sun Jul 19 20:45:10 +0000 2020","It's the most reactive and oxidative radical in the body - yet this potent molecule (the smallest in the universe)… https://t.co/ZLUNFepJ7m","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1284952445110624256",NA,29
"599","Sun Jul 19 10:45:05 +0000 2020","Mask wearing has become a hotly debated topic with convincing arguments on both sides. But what does the science sa… https://t.co/e38oXfLL7p","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1284801429056692225",NA,132
"600","Sat Jul 18 21:45:09 +0000 2020","COVID-19 vaccine will only increase demand for limulus amebocyte lysate (LAL), the harvesting of which has already… https://t.co/e6rZEsCNRg","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1284605152322887682",NA,52
"601","Sat Jul 18 12:45:12 +0000 2020","This doctor believes it's a global human experiment that's driving chronic degenerative disease levels in modern so… https://t.co/abRQczF3Wm","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1284469266721497089",NA,52
"602","Fri Jul 17 20:45:18 +0000 2020","GM mosquitoes dependent on an antibiotic are planned to be released where crops are sprayed with the antibiotic. Wh… https://t.co/hCN6kolT5H","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1284227700778061824",NA,67
"603","Fri Jul 17 11:35:12 +0000 2020","The voice of this former Nobel Prize winner is opening eyes to the knee-deep deception occurring behind the scenes.… https://t.co/1n1DYFsIYX","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1284089266201665537",NA,155
"604","Thu Jul 16 21:35:06 +0000 2020","Research found that sleeping with a partner produced more rapid eye movement (REM) sleep, less fragmented REM sleep… https://t.co/FfHXJH5b84","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1283877844188307461",NA,39
"605","Thu Jul 16 11:35:09 +0000 2020","Taking advantage of this natural synergy is one way to maximize your vitamin D status, especially for improving bra… https://t.co/tDyd9fRd7w","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1283726864088006656",NA,54
